,Max_Temp,Min_Temp,Avg_Temp,Air_Frost,Total_Rainfall,Sunshine_Duration,Enjoyment,Raw
68,9.0,3.2,6.1,2.0,76.6,80.0,0.8760580505981934,6.0
69,9.0,3.2,6.1,2.0,76.6,80.0,0.3805063771123649,2.0
70,12.0,2.4,7.2,7.0,41.4,140.0,0.6747409422235527,4.0
71,12.0,2.4,7.2,7.0,41.4,140.0,1.1441688336680205,11.0
72,12.0,2.4,7.2,7.0,41.4,140.0,0.6747409422235527,4.0
73,14.5,5.5,10.0,1.0,37.0,140.9,0.6747409422235527,4.0
74,14.5,5.5,10.0,1.0,37.0,140.9,-0.3805063771123649,-2.0
75,16.4,8.0,12.2,0.0,81.4,144.2,1.299849476456476,18.0
76,19.0,10.2,14.6,0.0,89.2,158.9,-0.3805063771123649,-2.0
77,19.4,9.1,14.25,0.0,17.0,123.9,-0.3805063771123649,-2.0
78,19.4,9.1,14.25,0.0,17.0,123.9,0.6747409422235527,4.0
79,15.6,7.9,11.75,0.0,69.0,71.7,0.8760580505981934,6.0
80,11.1,4.8,7.949999999999999,6.0,76.8,60.0,0.6747409422235527,4.0
81,11.1,4.8,7.949999999999999,6.0,76.8,60.0,-0.26060239174734096,-1.3333333333333333
82,8.3,1.4,4.8500000000000005,12.0,72.8,72.1,1.0121970114513341,8.0
83,8.3,1.4,4.8500000000000005,12.0,72.8,72.1,-0.4636476090008061,-2.5
84,8.3,1.4,4.8500000000000005,12.0,72.8,72.1,0.9505468408120751,7.0
85,7.7,0.8,4.25,12.0,60.3,73.2,0.3805063771123649,2.0
86,7.7,0.8,4.25,12.0,60.3,73.2,1.1441688336680205,11.0
87,7.2,0.7,3.95,12.0,25.4,55.9,-0.5693131911006619,-3.2
88,7.2,0.7,3.95,12.0,25.4,55.9,0.6747409422235527,4.0
89,10.2,2.0,6.1,8.0,49.2,110.2,0.9505468408120751,7.0
90,10.2,2.0,6.1,8.0,49.2,110.2,-0.26060239174734096,-1.3333333333333333
91,14.2,3.2,8.7,3.0,12.8,222.8,0.8760580505981934,6.0
92,14.2,3.2,8.7,3.0,12.8,222.8,0.3805063771123649,2.0
93,14.6,6.6,10.6,1.0,66.4,152.5,1.1760052070951352,12.0
94,14.6,6.6,10.6,1.0,66.4,152.5,1.4399689307208396,38.0
