,London Points,Stoke Points,Month
8,1.625,1.0,AUG
9,1.7179487179487178,1.6,SEP
10,1.8205128205128205,1.5714285714285714,OCT
11,1.3333333333333333,2.0,NOV
12,1.6285714285714286,1.6428571428571428,DEC
1,1.8297872340425532,1.3333333333333333,JAN
2,1.7916666666666667,1.8888888888888888,FEB
3,1.975609756097561,2.0,MAR
4,1.7037037037037037,1.6363636363636365,APR
5,1.4736842105263157,1.75,MAY
