Year,Unnamed: 0,Month,Tmax,Tmin,AF,Rain,Sun,Tmean
2010,780.5,6.5,12.691666666666668,4.175,8.083333333333334,43.89166666666667,117.61666666666667,8.433333333333334
2011,792.5,6.5,14.816666666666668,6.25,3.75,37.93333333333333,115.35000000000001,10.533333333333333
2012,804.5,6.5,13.433333333333332,5.333333333333333,4.75,78.76666666666667,106.66666666666667,9.383333333333333
2013,816.5,6.5,13.358333333333334,5.175,6.416666666666667,57.349999999999994,112.01666666666667,9.266666666666667
2014,828.5,6.5,14.708333333333334,6.341666666666666,3.0,62.583333333333336,124.99166666666667,10.525
2015,840.5,6.5,14.158333333333333,5.866666666666667,3.25,54.125,119.50833333333334,10.012500000000001
2016,852.5,6.5,14.141666666666666,5.8500000000000005,4.75,60.46666666666667,118.88333333333333,9.995833333333334
2017,864.5,6.5,14.375,6.433333333333334,4.0,55.75,107.65833333333335,10.404166666666667
2018,876.5,6.5,14.583333333333334,6.033333333333334,4.416666666666667,53.833333333333336,125.15833333333335,10.308333333333334
2019,888.5,6.5,14.166666666666666,5.983333333333333,4.083333333333333,68.18333333333334,108.45833333333333,10.075000000000001
2020,900.5,6.5,14.649999999999999,6.333333333333333,3.0,66.11666666666666,117.81666666666668,10.491666666666665
2021,912.5,6.5,14.116666666666667,6.083333333333333,5.083333333333333,53.916666666666664,107.8,10.1
2022,924.5,6.5,15.174999999999999,6.191666666666666,4.0,53.96666666666667,114.4,10.683333333333335
2023,936.5,6.5,14.924999999999999,6.716666666666666,3.5,71.91666666666667,108.41666666666667,10.820833333333333
