,London Enjoyment,Stoke Enjoyment,Month
8,0.3748200531451441,0.0469898563476975,AUG
9,0.5412795723383228,0.3556593152969739,SEP
10,0.5125042479464512,0.25969850225050567,OCT
11,0.3268388227575571,0.6018838154807401,NOV
12,0.37774251026736666,0.4639092552428061,DEC
1,0.5404945016159234,0.34600545647893755,JAN
2,0.4687404267707775,0.46675489796611686,FEB
3,0.5647982352891266,0.517180872122722,MAR
4,0.42961809990626104,0.3774649465299646,APR
5,0.3683311992027692,0.6842663748020854,MAY
