,Max_Temp,Min_Temp,Avg_Temp,Air_Frost,Total_Rainfall,Sunshine_Duration,Enjoyment,Raw
69,19.4,9.4,14.4,0.0,24.6,218.0,0.6747409422235527,4.0
70,19.4,9.4,14.4,0.0,24.6,218.0,0.3805063771123649,2.0
71,19.4,9.4,14.4,0.0,24.6,218.0,-0.5611634122883522,-3.142857142857143
72,19.4,9.4,14.4,0.0,24.6,218.0,-0.26060239174734096,-1.3333333333333333
73,19.4,9.4,14.4,0.0,24.6,218.0,0.6747409422235527,4.0
74,19.4,9.4,14.4,0.0,24.6,218.0,-0.5880026035475676,-3.3333333333333335
75,19.4,9.4,14.4,0.0,24.6,218.0,0.6747409422235527,4.0
76,21.8,13.4,17.6,0.0,68.8,144.1,-0.7044940642422177,-4.25
77,21.8,13.4,17.6,0.0,68.8,144.1,0.0,0.0
78,21.8,13.4,17.6,0.0,68.8,144.1,-0.4636476090008061,-2.5
79,21.8,13.4,17.6,0.0,68.8,144.1,0.8760580505981934,6.0
80,21.8,13.4,17.6,0.0,68.8,144.1,1.1441688336680205,11.0
81,21.3,12.4,16.85,0.0,35.0,161.2,0.6747409422235527,4.0
82,21.3,12.4,16.85,0.0,35.0,161.2,0.3805063771123649,2.0
83,21.3,12.4,16.85,0.0,35.0,161.2,0.0,0.0
84,21.3,12.4,16.85,0.0,35.0,161.2,0.6747409422235527,4.0
85,21.3,12.4,16.85,0.0,35.0,161.2,1.299849476456476,18.0
86,21.3,12.4,16.85,0.0,35.0,161.2,1.1760052070951352,12.0
87,21.3,12.4,16.85,0.0,35.0,161.2,0.3805063771123649,2.0
88,18.1,10.1,14.1,0.0,18.4,140.4,1.4432867685796584,39.0
89,18.1,10.1,14.1,0.0,18.4,140.4,0.3805063771123649,2.0
90,18.1,10.1,14.1,0.0,18.4,140.4,1.1441688336680205,11.0
91,18.1,10.1,14.1,0.0,18.4,140.4,0.8760580505981934,6.0
92,18.1,10.1,14.1,0.0,18.4,140.4,0.6747409422235527,4.0
93,18.1,10.1,14.1,0.0,18.4,140.4,1.1441688336680205,11.0
94,18.1,10.1,14.1,0.0,18.4,140.4,-0.4228539261329407,-2.25
95,18.1,10.1,14.1,0.0,18.4,140.4,-0.4018706474404565,-2.125
96,13.6,7.3,10.45,0.0,29.0,52.5,1.1760052070951352,12.0
97,13.6,7.3,10.45,0.0,29.0,52.5,-0.23554498072086333,-1.2
98,13.6,7.3,10.45,0.0,29.0,52.5,-0.4228539261329407,-2.25
99,13.6,7.3,10.45,0.0,29.0,52.5,-0.26060239174734096,-1.3333333333333333
100,13.6,7.3,10.45,0.0,29.0,52.5,0.3805063771123649,2.0
101,13.6,7.3,10.45,0.0,29.0,52.5,1.1760052070951352,12.0
102,9.9,3.8,6.85,4.0,63.0,60.6,0.3805063771123649,2.0
103,9.9,3.8,6.85,4.0,63.0,60.6,0.6747409422235527,4.0
104,9.9,3.8,6.85,4.0,63.0,60.6,0.6747409422235527,4.0
105,9.9,3.8,6.85,4.0,63.0,60.6,0.8760580505981934,6.0
106,9.9,3.8,6.85,4.0,63.0,60.6,0.9505468408120751,7.0
107,9.9,3.8,6.85,4.0,63.0,60.6,-0.4636476090008061,-2.5
108,9.9,3.8,6.85,4.0,63.0,60.6,-0.23554498072086333,-1.2
109,9.9,3.8,6.85,4.0,63.0,60.6,-0.805003494254653,-5.2
110,9.9,3.8,6.85,4.0,63.0,60.6,0.3805063771123649,2.0
111,9.9,3.8,6.85,4.0,63.0,60.6,0.3805063771123649,2.0
112,9.9,3.8,6.85,4.0,63.0,60.6,-0.4228539261329407,-2.25
113,9.9,3.8,6.85,4.0,63.0,60.6,0.6747409422235527,4.0
114,9.8,3.4,6.6000000000000005,7.0,34.4,68.5,0.8760580505981934,6.0
115,9.8,3.4,6.6000000000000005,7.0,34.4,68.5,-0.26060239174734096,-1.3333333333333333
116,9.8,3.4,6.6000000000000005,7.0,34.4,68.5,0.6747409422235527,4.0
117,9.8,3.4,6.6000000000000005,7.0,34.4,68.5,1.3654009376051293,24.0
118,9.8,3.4,6.6000000000000005,7.0,34.4,68.5,1.1441688336680205,11.0
