,epoch,loss
0,1,1.0926207304000854
1,2,1.0781317949295044
2,3,1.0646156072616577
3,4,1.0519057512283325
4,5,1.0398774147033691
5,6,1.0283607244491577
6,7,1.0172849893569946
7,8,1.006516933441162
8,9,0.9959792494773865
9,10,0.9856433868408203
10,11,0.975534200668335
11,12,0.9656476378440857
12,13,0.9560346603393555
13,14,0.9467753171920776
14,15,0.9379433989524841
15,16,0.9296332001686096
16,17,0.9219354391098022
17,18,0.9149066805839539
18,19,0.9085865020751953
19,20,0.9029780030250549
20,21,0.8980380296707153
21,22,0.8937081694602966
22,23,0.8899194002151489
23,24,0.8865708708763123
24,25,0.8836007714271545
25,26,0.8809304237365723
26,27,0.8785065412521362
27,28,0.8762761354446411
28,29,0.874197244644165
29,30,0.8722355365753174
30,31,0.8703763484954834
31,32,0.8686102032661438
32,33,0.8669421076774597
33,34,0.8653550148010254
34,35,0.8638378381729126
35,36,0.8623762130737305
36,37,0.8609393835067749
37,38,0.8595138192176819
38,39,0.8580887913703918
39,40,0.8566471934318542
40,41,0.8551974296569824
41,42,0.8537578582763672
42,43,0.8523277640342712
43,44,0.8509389758110046
44,45,0.8496015071868896
45,46,0.8483213782310486
46,47,0.8471081852912903
47,48,0.8459565043449402
48,49,0.8448598384857178
49,50,0.8438040614128113
50,51,0.842785656452179
51,52,0.841780424118042
52,53,0.8407931327819824
53,54,0.8398096561431885
54,55,0.8388276100158691
55,56,0.837851345539093
56,57,0.8368787169456482
57,58,0.8359061479568481
58,59,0.8349354863166809
59,60,0.8339649438858032
60,61,0.8330007195472717
61,62,0.8320391774177551
62,63,0.8310792446136475
63,64,0.8301278948783875
64,65,0.8291866779327393
65,66,0.8282550573348999
66,67,0.8273287415504456
67,68,0.8264075517654419
68,69,0.8254926204681396
69,70,0.8245787024497986
70,71,0.8236585259437561
71,72,0.8227336406707764
72,73,0.8217980861663818
73,74,0.820855438709259
74,75,0.8199121356010437
75,76,0.8189702033996582
76,77,0.8180340528488159
77,78,0.8171043992042542
78,79,0.8161814212799072
79,80,0.8152601718902588
80,81,0.8143411874771118
81,82,0.8134188652038574
82,83,0.8124909996986389
83,84,0.8115630745887756
84,85,0.8106426000595093
85,86,0.8097277283668518
86,87,0.8088173270225525
87,88,0.807908833026886
88,89,0.8070027828216553
89,90,0.8061016201972961
90,91,0.8052065968513489
91,92,0.8043138384819031
92,93,0.8034207820892334
93,94,0.8025354743003845
94,95,0.8016511797904968
95,96,0.8007755875587463
96,97,0.7999008893966675
97,98,0.7990245819091797
98,99,0.7981462478637695
99,100,0.7972743511199951
100,101,0.7964105010032654
101,102,0.7955508232116699
102,103,0.7946945428848267
103,104,0.7938386797904968
104,105,0.7929843068122864
105,106,0.7921280264854431
106,107,0.7912712693214417
107,108,0.7904136180877686
108,109,0.7895563840866089
109,110,0.7886984944343567
110,111,0.787847101688385
111,112,0.7869974374771118
112,113,0.7861527800559998
113,114,0.7853153347969055
114,115,0.7844769954681396
115,116,0.783637523651123
116,117,0.7827968001365662
117,118,0.7819574475288391
118,119,0.7811192870140076
119,120,0.780286967754364
120,121,0.779455304145813
121,122,0.7786336541175842
122,123,0.7778207063674927
123,124,0.7770023345947266
124,125,0.776183545589447
125,126,0.7753596305847168
126,127,0.7745456099510193
127,128,0.7737339735031128
128,129,0.7729189395904541
129,130,0.772100567817688
130,131,0.7712861895561218
131,132,0.7704793214797974
132,133,0.7696815133094788
133,134,0.7688881158828735
134,135,0.7680948376655579
135,136,0.7672957181930542
136,137,0.7664945721626282
137,138,0.7656987905502319
138,139,0.7649050951004028
139,140,0.7641122937202454
140,141,0.7633171081542969
141,142,0.7625278830528259
142,143,0.7617449164390564
143,144,0.760964572429657
144,145,0.7601810097694397
145,146,0.7593950629234314
146,147,0.7586111426353455
147,148,0.7578279376029968
148,149,0.7570405006408691
149,150,0.7562519311904907
150,151,0.755468487739563
151,152,0.7546813488006592
152,153,0.7538912296295166
153,154,0.753105878829956
154,155,0.7523161768913269
155,156,0.7515248656272888
156,157,0.7507251501083374
157,158,0.7499210238456726
158,159,0.7491174936294556
159,160,0.748314380645752
160,161,0.7475229501724243
161,162,0.7467253804206848
162,163,0.7459255456924438
163,164,0.7451358437538147
164,165,0.7443481087684631
165,166,0.743558943271637
166,167,0.7427769899368286
167,168,0.7419931888580322
168,169,0.7412015795707703
169,170,0.7404134273529053
170,171,0.7396283149719238
171,172,0.7388307452201843
172,173,0.738021194934845
173,174,0.7372093796730042
174,175,0.7363985180854797
175,176,0.7355731725692749
176,177,0.7347485423088074
177,178,0.7339326739311218
178,179,0.733123242855072
179,180,0.7323131561279297
180,181,0.731495201587677
181,182,0.7306711077690125
182,183,0.7298550009727478
183,184,0.7290417551994324
184,185,0.7282288074493408
185,186,0.7274057865142822
186,187,0.7265815138816833
187,188,0.7257578372955322
188,189,0.7249311804771423
189,190,0.7241072058677673
190,191,0.7232807874679565
191,192,0.7224487066268921
192,193,0.7216160893440247
193,194,0.7207881212234497
194,195,0.7199566960334778
195,196,0.7191291451454163
196,197,0.718324601650238
197,198,0.7175374627113342
198,199,0.7167754173278809
199,200,0.7159528732299805
200,201,0.7150468826293945
201,202,0.7141610980033875
202,203,0.7133690118789673
203,204,0.7126008868217468
204,205,0.7117904424667358
205,206,0.7109242081642151
206,207,0.710077166557312
207,208,0.7092931866645813
208,209,0.7085287570953369
209,210,0.7077436447143555
210,211,0.7069153785705566
211,212,0.7060454487800598
212,213,0.7051888108253479
213,214,0.70437091588974
214,215,0.7035754919052124
215,216,0.7027781009674072
