Year,Unnamed: 0,Month,Tmax,Tmin,AF,Rain,Sun,Tmean
1908,12.5,6.5,11.941666666666668,4.983333333333333,5.5,,107.20833333333333,8.4625
1909,24.5,6.5,11.191666666666668,4.4750000000000005,6.166666666666667,,106.35833333333333,7.833333333333333
1910,36.5,6.5,11.6,5.1499999999999995,4.0,,106.45833333333333,8.375
1911,48.5,6.5,12.65,5.891666666666667,2.0,59.4,125.89166666666667,9.270833333333334
1912,60.5,6.5,11.691666666666668,5.316666666666666,3.0,91.66666666666667,83.41666666666667,8.504166666666666
1913,72.5,6.5,12.174999999999999,5.833333333333333,2.8333333333333335,64.13333333333334,88.83333333333333,9.004166666666666
1914,84.5,6.5,12.841666666666667,5.8,2.5,77.21666666666667,107.60833333333333,9.320833333333333
1915,96.5,6.5,11.6,4.608333333333333,3.9166666666666665,77.78333333333333,104.27499999999999,8.104166666666666
1916,108.5,6.5,11.674999999999999,5.333333333333333,4.083333333333333,80.70833333333333,91.80000000000001,8.504166666666668
1917,120.5,6.5,11.216666666666667,4.558333333333334,7.75,62.55833333333333,102.24166666666667,7.8875
1918,132.5,6.5,12.133333333333333,5.3999999999999995,3.8333333333333335,80.20833333333333,102.63333333333333,8.766666666666667
1919,144.5,6.5,11.133333333333333,4.291666666666667,5.916666666666667,75.85000000000001,106.31666666666666,7.7124999999999995
1920,156.5,6.5,12.0,5.716666666666666,2.0,83.43333333333332,84.36666666666666,8.858333333333333
1921,168.5,6.5,13.316666666666665,6.05,2.1666666666666665,56.400000000000006,112.95833333333333,9.683333333333334
1922,180.5,6.5,11.125,4.825,4.25,75.03333333333333,93.625,7.9750000000000005
1923,192.5,6.5,11.275,5.3,4.0,80.47500000000001,101.75833333333333,8.2875
1924,204.5,6.5,11.575000000000001,5.541666666666667,4.25,70.34166666666667,89.09166666666665,8.558333333333334
1925,216.5,6.5,11.875,5.158333333333333,4.833333333333333,78.01666666666667,100.36666666666667,8.516666666666667
1926,228.5,6.5,12.266666666666666,5.558333333333334,2.9166666666666665,69.075,98.26666666666667,8.9125
1927,240.5,6.5,11.424999999999999,5.333333333333333,3.8333333333333335,81.81666666666666,89.11666666666667,8.379166666666666
1928,252.5,6.5,12.041666666666666,5.316666666666666,3.5833333333333335,91.68333333333334,102.66666666666667,8.679166666666667
1929,264.5,6.5,9.366666666666667,3.3666666666666667,6.333333333333333,61.0,118.5909090909091,6.366666666666667
1930,276.5,6.5,11.666666666666666,5.391666666666667,4.25,91.02499999999999,99.175,8.529166666666667
1931,288.5,6.5,11.375,5.2250000000000005,4.833333333333333,77.96666666666667,91.83333333333333,8.299999999999999
1932,300.5,6.5,11.975,5.675,3.5833333333333335,62.666666666666664,88.05833333333334,8.825000000000001
1933,312.5,6.5,12.791666666666666,5.875,3.6666666666666665,52.675000000000004,111.93333333333334,9.333333333333334
1934,324.5,6.5,12.966666666666667,6.141666666666667,2.4166666666666665,58.574999999999996,106.95,9.554166666666667
1935,336.5,6.5,12.483333333333334,5.741666666666667,2.6666666666666665,84.7,117.59166666666665,9.112499999999999
1936,348.5,6.5,11.891666666666666,5.458333333333333,4.083333333333333,73.075,96.8,8.674999999999999
1937,360.5,6.5,12.0,5.633333333333334,4.75,64.33333333333333,85.04166666666667,8.816666666666666
1938,372.5,6.5,12.75,6.433333333333334,1.5,80.16666666666667,99.70833333333333,9.591666666666667
1939,384.5,6.5,12.166666666666666,5.95,2.25,72.45833333333333,98.89166666666667,9.058333333333334
1940,396.5,6.5,11.741666666666667,4.8500000000000005,5.416666666666667,60.78333333333333,103.43333333333334,8.295833333333333
1941,408.5,6.5,11.6,5.166666666666667,5.0,66.23333333333333,90.375,8.383333333333335
1942,420.5,6.5,11.674999999999999,4.991666666666666,5.666666666666667,60.60833333333334,99.35000000000001,8.333333333333334
1943,432.5,6.5,12.733333333333334,5.825,2.75,58.76666666666666,109.45,9.279166666666667
1944,444.5,6.5,12.033333333333333,5.566666666666666,3.5,82.84166666666667,90.44166666666666,8.799999999999999
1945,456.5,6.5,13.1,6.183333333333334,3.4166666666666665,67.59166666666667,100.40833333333335,9.641666666666667
1946,468.5,6.5,11.958333333333334,5.666666666666667,4.083333333333333,78.25,105.0,8.8125
1947,480.5,6.5,12.058333333333332,5.583333333333333,6.583333333333333,73.86666666666666,106.56666666666666,8.820833333333335
1948,492.5,6.5,12.441666666666668,6.008333333333333,2.4166666666666665,63.6,105.90833333333335,9.225
1949,504.5,6.5,13.325000000000001,6.425,2.6666666666666665,65.90833333333335,127.28333333333335,9.875
1950,516.5,6.5,11.933333333333332,5.616666666666666,3.9166666666666665,72.55833333333334,109.56666666666666,8.775
1951,528.5,6.5,11.608333333333334,5.216666666666667,3.6666666666666665,88.125,105.96666666666668,8.4125
1952,540.5,6.5,11.533333333333333,5.216666666666667,5.083333333333333,60.574999999999996,109.86666666666667,8.375
1953,552.5,6.5,12.700000000000001,6.158333333333334,2.9166666666666665,57.65833333333333,104.175,9.429166666666667
1954,564.5,6.5,11.366666666666667,5.491666666666667,3.8333333333333335,87.3,88.93333333333334,8.429166666666667
1955,576.5,6.5,11.983333333333333,5.1499999999999995,6.0,51.800000000000004,122.60833333333333,8.566666666666666
1956,588.5,6.5,11.166666666666666,5.125,4.583333333333333,74.22500000000001,103.36666666666667,8.145833333333334
1957,600.5,6.5,12.458333333333334,6.0249999999999995,2.75,68.58333333333333,110.95,9.241666666666665
1958,612.5,6.5,11.608333333333334,5.45,5.416666666666667,82.76666666666667,92.09166666666665,8.529166666666667
1959,624.5,6.5,13.241666666666667,6.25,3.0833333333333335,61.958333333333336,115.18333333333334,9.745833333333334
1960,636.5,6.5,12.141666666666666,5.883333333333334,3.0833333333333335,87.36666666666666,105.93333333333334,9.012500000000001
1961,648.5,6.5,12.333333333333334,5.8500000000000005,3.1666666666666665,77.02499999999999,101.50833333333333,9.091666666666667
1962,660.5,6.5,11.091666666666667,4.758333333333334,4.833333333333333,61.73333333333333,102.7,7.925
1963,672.5,6.5,10.941666666666668,4.816666666666667,6.25,66.88333333333334,97.2,7.879166666666666
1964,684.5,6.5,11.833333333333334,5.666666666666667,3.9166666666666665,58.11666666666667,101.93333333333334,8.75
1965,696.5,6.5,10.35,5.241666666666666,4.833333333333333,84.93333333333334,94.15833333333335,7.35
1966,708.5,6.5,11.591666666666667,5.7,4.0,92.66666666666667,93.59166666666665,8.645833333333334
1967,720.5,6.5,12.033333333333333,5.833333333333333,3.5833333333333335,81.30833333333334,107.21666666666665,8.933333333333334
1968,732.5,6.5,11.758333333333333,5.658333333333334,5.083333333333333,87.35000000000001,89.25833333333334,8.708333333333334
1969,744.5,6.5,11.583333333333334,5.258333333333334,6.583333333333333,77.52499999999999,102.39999999999999,8.420833333333333
1970,756.5,6.5,12.158333333333333,5.566666666666666,4.5,71.30833333333334,113.75833333333333,8.862499999999999
1971,768.5,6.5,12.566666666666668,5.783333333333332,3.1666666666666665,57.85833333333333,104.00833333333333,9.174999999999999
1972,780.5,6.5,11.65,5.3500000000000005,2.5833333333333335,70.76666666666667,94.02499999999999,8.5
1973,792.5,6.5,12.291666666666666,5.5249999999999995,4.083333333333333,61.25833333333333,106.71666666666668,8.908333333333333
1974,804.5,6.5,12.008333333333333,5.683333333333334,1.5,76.14999999999999,97.02222222222223,8.845833333333333
1975,816.5,6.5,12.783333333333333,5.875,2.6666666666666665,53.80833333333334,120.31666666666666,9.329166666666667
1976,828.5,6.5,12.508333333333333,5.791666666666667,4.166666666666667,70.125,115.67272727272729,9.15
1977,840.5,6.5,11.6,5.441666666666666,3.0,73.9,106.94166666666666,8.520833333333334
1978,852.5,6.5,11.691666666666668,5.4750000000000005,5.166666666666667,72.48333333333333,97.78999999999999,8.583333333333334
1979,864.5,6.5,11.308333333333332,4.783333333333333,6.5,81.56666666666666,100.44166666666666,8.045833333333333
1980,876.5,6.5,11.958333333333334,5.425,4.166666666666667,83.04166666666667,97.85000000000001,8.691666666666666
1981,888.5,6.5,11.816666666666668,5.125,5.333333333333333,76.64999999999999,81.3125,8.470833333333333
1982,900.5,6.5,12.708333333333334,5.533333333333334,4.0,72.56666666666666,100.925,9.120833333333334
1983,912.5,6.5,11.645454545454545,5.941666666666666,4.083333333333333,84.125,87.74166666666667,8.522727272727273
1984,924.5,6.5,12.516666666666666,5.741666666666667,3.4166666666666665,73.73333333333333,95.36,9.129166666666666
